date,open,high,low,volume,close
5/23/1994,26.5124,26.5215,26.4123,262700,26.4942
5/24/1994,26.567,26.7035,26.567,549600,26.6034
5/25/1994,26.5033,26.6944,26.4123,738200,26.6762
5/26/1994,26.6671,26.7581,26.6398,369600,26.6944
5/27/1994,26.6489,26.7217,26.6034,162000,26.7217
5/31/1994,26.6398,26.7399,26.5943,160000,26.6853
6/1/1994,26.6216,26.8036,26.5397,200500,26.8036
6/2/1994,26.8218,26.8218,26.7308,55100,26.7763
6/3/1994,26.7946,27.0221,26.7126,550400,26.931
6/6/1994,26.9857,27.0676,26.9038,99300,26.9219
6/7/1994,26.8764,26.9219,26.8127,120600,26.8855
6/8/1994,26.9493,26.9493,26.6671,131900,26.6671
6/9/1994,26.7854,26.8127,26.7308,80500,26.8127
6/10/1994,26.84,26.9129,26.84,83100,26.8582
6/13/1994,26.8218,26.9038,26.8127,109700,26.8946
6/14/1994,26.9766,27.1131,26.9766,161000,27.104
6/15/1994,27.1131,27.1222,26.9766,142800,26.9948
6/16/1994,26.9948,27.0676,26.9674,44000,27.0494
6/17/1994,27.0643,27.0918,26.8628,403800,26.8994
6/20/1994,26.707,26.7528,26.6429,137400,26.6703
6/21/1994,26.652,26.652,26.3313,139200,26.4413
6/22/1994,26.5146,26.6337,26.4871,279900,26.5421
6/23/1994,26.5879,26.6245,26.3497,922500,26.3863
6/24/1994,26.258,26.258,25.8,353800,25.8366
6/27/1994,25.9374,26.2855,25.8091,371200,26.2855
6/28/1994,26.2947,26.2947,25.9466,5382300,26.1572
6/29/1994,26.1939,26.3955,26.1664,311800,26.2397
6/30/1994,26.2855,26.2947,25.9832,271900,26.0748
7/1/1994,26.2031,26.2031,26.0199,406900,26.1298
7/5/1994,26.1847,26.3038,26.1023,112000,26.2672
7/6/1994,26.1664,26.2764,26.0748,174800,26.2305
7/7/1994,26.2305,26.3405,26.2031,66700,26.3405
7/8/1994,26.1756,26.3771,26.1664,148400,26.3313
7/11/1994,26.3497,26.3955,26.1114,124000,26.2397
7/12/1994,26.2489,26.2855,26.1023,257300,26.2764
7/13/1994,26.2855,26.4046,26.2855,532700,26.3222
7/14/1994,26.4504,26.6612,26.4321,494200,26.6062
7/15/1994,26.5879,26.6703,26.5787,49100,26.6154
7/18/1994,26.6154,26.7253,26.6154,72300,26.6612
7/19/1994,26.707,26.7162,26.6062,609500,26.6062
7/20/1994,26.6245,26.6245,26.423,185300,26.4871
7/21/1994,26.4871,26.5604,26.4321,86300,26.5421
7/22/1994,26.6062,26.6245,26.5329,151600,26.5879
7/25/1994,26.597,26.652,26.5696,120900,26.6245
7/26/1994,26.6154,26.6337,26.5696,489600,26.597
7/27/1994,26.597,26.597,26.4871,83200,26.597
7/28/1994,26.597,26.7253,26.597,828200,26.652
7/29/1994,26.8352,27.0001,26.8261,459100,26.9177
8/1/1994,26.936,27.0643,26.9085,486300,27.046
8/2/1994,27.1376,27.1926,26.991,505500,27.0826
8/3/1994,27.0734,27.1101,27.0276,144100,27.0918
8/4/1994,27.0734,27.1009,26.9268,231700,26.936
8/5/1994,26.7986,26.881,26.7711,138400,26.8444
8/8/1994,26.8719,26.936,26.8444,328600,26.9085
8/9/1994,26.8077,26.9543,26.8077,105900,26.9543
8/10/1994,26.9727,27.0826,26.936,840300,27.0551
8/11/1994,26.991,27.1101,26.8169,876200,26.9543
8/12/1994,27.0001,27.1742,27.0001,184100,27.1651
8/15/1994,27.1926,27.2567,27.1559,325900,27.1559
8/16/1994,27.1742,27.3758,27.0643,1089500,27.3483
8/17/1994,27.385,27.4033,27.3117,133700,27.33
8/18/1994,27.2384,27.3025,27.2109,620000,27.2384
8/19/1994,27.2475,27.275,27.1559,103200,27.22
8/22/1994,27.2292,27.2292,27.1376,79700,27.1926
8/23/1994,27.3117,27.4766,27.275,268600,27.3483
8/24/1994,27.3758,27.6415,27.3666,254700,27.6415
8/25/1994,27.614,27.6781,27.4949,147400,27.5682
8/26/1994,27.6324,28.0171,27.6324,339500,27.9622
8/29/1994,28.0355,28.1362,27.9347,350300,27.9438
8/30/1994,27.9347,28.0629,27.898,36000,28.0171
8/31/1994,27.9713,28.0813,27.9072,356200,27.9438
9/1/1994,27.8522,27.8705,27.7514,294600,27.8522
9/2/1994,27.9805,27.9805,27.6873,99600,27.7331
9/6/1994,27.7148,27.7697,27.6324,229800,27.7423
9/7/1994,27.8064,27.8064,27.6873,27900,27.7148
9/8/1994,27.7697,27.8889,27.7606,284800,27.8522
9/9/1994,27.5774,27.6324,27.4491,488400,27.5591
9/12/1994,27.5591,27.5957,27.4308,129400,27.4766
9/13/1994,27.5316,27.6324,27.4766,389200,27.5591
9/14/1994,27.4674,27.6231,27.4674,423500,27.5865
9/15/1994,27.6598,27.9347,27.6598,779800,27.9347
9/16/1994,27.7279,27.8108,27.6357,571300,27.7371
9/19/1994,27.8016,27.9214,27.7371,167300,27.7647
9/20/1994,27.6173,27.6449,27.2393,355600,27.2393
9/21/1994,27.3223,27.3223,26.9812,397500,27.2393
9/22/1994,27.3038,27.3038,27.1471,266400,27.1748
9/23/1994,27.184,27.2393,27.0365,176600,27.0826
9/26/1994,27.184,27.2393,27.1287,223000,27.2209
9/27/1994,27.2209,27.2946,27.1379,479500,27.2024
9/28/1994,27.3499,27.4513,27.3315,324000,27.4144
9/29/1994,27.4144,27.4144,27.1932,195900,27.2761
9/30/1994,27.2669,27.396,27.2393,5200,27.2393
10/3/1994,27.2577,27.2854,27.1287,72600,27.1748
10/4/1994,27.313,27.313,26.7507,84200,26.7692
10/5/1994,26.7231,26.7784,26.548,461900,26.7784
10/6/1994,26.7968,26.8153,26.6493,345200,26.6955
10/7/1994,26.6955,26.889,26.6678,188700,26.8153
10/10/1994,26.9351,27.1471,26.9259,213600,27.101
10/11/1994,27.2209,27.5804,27.2209,461400,27.5066
10/12/1994,27.5435,27.5804,27.479,162400,27.5435
10/13/1994,27.8569,27.9214,27.608,1564500,27.6357
10/14/1994,27.7279,27.7647,27.5435,72800,27.7555
10/17/1994,27.7279,27.7647,27.6725,282300,27.7002
10/18/1994,27.6725,27.6725,27.5435,132100,27.6357
10/19/1994,27.5342,27.8661,27.525,136700,27.7647
10/20/1994,27.7647,27.7647,27.4974,290300,27.5804
10/21/1994,27.5066,27.5435,27.3499,87800,27.4698
10/24/1994,27.479,27.5896,27.2301,149600,27.2393
10/25/1994,27.1471,27.3223,27.1379,91800,27.2669
10/26/1994,27.3684,27.396,27.2393,201000,27.3684
10/27/1994,27.4698,27.5342,27.4052,210300,27.5342
10/28/1994,27.5896,28.1427,27.5896,192100,28.115
10/31/1994,28.0505,28.0781,28.0044,36300,28.0136
11/1/1994,27.8938,27.8938,27.691,435200,27.7002
11/2/1994,27.6173,27.8661,27.5435,115600,27.5435
11/3/1994,27.6357,27.7371,27.5988,87000,27.691
11/4/1994,27.82,27.82,27.3315,124400,27.3315
11/7/1994,27.396,27.4882,27.3223,115000,27.4144
11/8/1994,27.5066,27.7186,27.4605,308300,27.6265
11/9/1994,27.9214,27.9214,27.4329,318500,27.6725
11/10/1994,27.691,27.7463,27.4605,172100,27.479
11/11/1994,27.4421,27.4698,27.3038,302200,27.3776
11/14/1994,27.4974,27.6449,27.4974,181400,27.6357
11/15/1994,27.608,27.7832,27.3315,316900,27.5435
11/16/1994,27.5896,27.6357,27.4974,106900,27.6357
11/17/1994,27.6541,27.6541,27.3407,104700,27.4513
11/18/1994,27.4605,27.5066,27.2946,269300,27.4144
11/21/1994,27.396,27.479,27.1379,283100,27.1379
11/22/1994,27.0365,27.1379,26.548,483600,26.548
11/23/1994,26.5664,26.7047,26.3175,601600,26.6955
11/25/1994,26.7139,26.8613,26.7139,77300,26.8245
11/28/1994,26.8153,26.9536,26.7507,79900,26.9443
11/29/1994,26.9351,26.9904,26.8429,105500,26.9351
11/30/1994,27.0734,27.1102,26.8982,218800,26.8982
12/1/1994,26.9259,26.9259,26.5756,439000,26.6309
12/2/1994,26.5756,26.8798,26.5756,318500,26.8798
12/5/1994,26.9351,27.0273,26.8429,139200,26.9074
12/6/1994,26.8061,26.9351,26.7599,249900,26.9259
12/7/1994,26.7599,26.8429,26.7047,531900,26.7323
12/8/1994,26.8429,26.8798,26.4005,261500,26.4742
12/9/1994,26.4742,26.594,26.3636,235900,26.5756
12/12/1994,26.5203,26.7507,26.5203,151100,26.7507
12/13/1994,26.7323,26.8613,26.7323,70900,26.8521
12/14/1994,26.8153,27.1102,26.8153,203300,26.9904
12/15/1994,27.0273,27.1563,27.0273,130100,27.0734
12/16/1994,27.1581,27.2603,27.1303,266100,27.2046
12/19/1994,27.2046,27.2603,27.1209,1120200,27.2417
12/20/1994,27.2696,27.2882,27.1581,675600,27.1581
12/21/1994,27.1767,27.5112,27.1767,544500,27.4461
12/22/1994,27.4461,27.474,27.3346,222000,27.3625
12/23/1994,27.3439,27.4554,27.3439,125800,27.3904
12/27/1994,27.4833,27.5948,27.4647,95200,27.5391
12/28/1994,27.5669,27.5669,27.3346,358200,27.3997
12/29/1994,27.5019,27.5019,27.3904,220100,27.4182
12/30/1994,27.474,27.5019,27.0931,2209500,27.0931
1/3/1995,27.1767,27.2603,27.1674,324300,27.2231
1/4/1995,27.3439,27.3532,27.2046,351800,27.3532
1/5/1995,27.3718,27.4182,27.3254,89800,27.3532
1/6/1995,27.409,27.5019,27.2975,448400,27.3811
1/9/1995,27.3718,27.409,27.3532,36800,27.409
1/10/1995,27.474,27.5855,27.4368,229800,27.4368
1/11/1995,27.5297,27.5297,27.2417,222400,27.4554
1/12/1995,27.4276,27.4833,27.3718,40300,27.4647
1/13/1995,27.6134,27.7899,27.5762,170600,27.7899
1/16/1995,27.7806,27.9664,27.7806,105100,27.9572
1/17/1995,27.9014,27.985,27.8642,89500,27.9664
1/18/1995,27.9479,27.9943,27.8735,84500,27.9385
1/19/1995,27.8457,27.8735,27.7621,139100,27.7806
1/20/1995,27.7434,27.7527,27.6227,78700,27.6784
1/23/1995,27.4926,27.7621,27.474,53700,27.7621
1/24/1995,27.7527,27.7992,27.7342,32400,27.7992
1/25/1995,27.6598,27.9757,27.6598,15700,27.8735
1/26/1995,27.8549,27.9385,27.7992,9800,27.9014
1/27/1995,28.0872,28.0872,27.9014,91200,28.0129
1/30/1995,27.9572,27.9757,27.8549,26600,27.8921
1/31/1995,27.9479,28.05,27.9014,127500,28.0036
2/1/1995,28.0408,28.143,27.9479,380200,27.9943
2/2/1995,27.985,28.1615,27.985,131700,28.1615
2/3/1995,28.3381,28.6075,28.2916,405100,28.5611
2/6/1995,28.5518,28.7655,28.5239,405400,28.6818
2/7/1995,28.7283,28.7283,28.6261,702900,28.719
2/8/1995,28.6818,28.8212,28.6633,521500,28.719
2/9/1995,28.6726,28.719,28.6168,390700,28.719
2/10/1995,28.6818,28.7562,28.5982,148300,28.7562
2/13/1995,28.7376,28.8212,28.7376,79700,28.7655
2/14/1995,28.8584,28.8584,28.6912,170200,28.8027
2/15/1995,28.8027,28.9978,28.7748,431500,28.9606
2/16/1995,28.9234,28.9513,28.8398,99300,28.9234
2/17/1995,28.8955,28.9142,28.8027,49100,28.8119
2/21/1995,28.8119,28.8584,28.7933,168000,28.8027
2/22/1995,28.8305,29.0163,28.8119,386400,29.0163
2/23/1995,29.1278,29.23,29.0535,402800,29.0628
2/24/1995,29.1,29.1464,29.0257,307600,29.1371
2/27/1995,29.0535,29.1371,28.8584,280900,28.9048
2/28/1995,28.877,29.1464,28.877,493500,29.1464
3/1/1995,29.1185,29.1557,28.9327,242600,28.9606
3/2/1995,28.9513,28.9978,28.8677,488600,28.9978
3/3/1995,28.9048,29.007,28.8305,290000,29.007
3/6/1995,28.8119,29.0257,28.7748,85700,29.0257
3/7/1995,28.9234,28.9885,28.6726,180900,28.8027
3/8/1995,28.8491,28.9142,28.7469,155900,28.877
3/9/1995,28.8677,28.8955,28.7933,63500,28.8677
3/10/1995,28.8955,29.3694,28.8584,192100,29.2951
3/13/1995,29.2765,29.3694,29.2393,261300,29.2672
3/14/1995,29.3508,29.5181,29.3508,223300,29.4809
3/15/1995,29.4345,29.4809,29.3136,278500,29.4251
3/16/1995,29.3973,29.6203,29.3973,20400,29.6017
3/17/1995,29.5563,29.6684,29.5376,89900,29.631
3/20/1995,29.6684,29.6684,29.5749,91700,29.631
3/21/1995,29.631,29.8178,29.5095,104400,29.5563
3/22/1995,29.6123,29.6123,29.4909,74900,29.5842
3/23/1995,29.5469,29.687,29.5095,220500,29.603
3/24/1995,29.6963,30.0233,29.6963,134000,30.0233
3/27/1995,30.07,30.1447,29.9953,132100,30.1447
3/28/1995,30.07,30.1447,30.0326,121900,30.1447
