date,open,high,low,close,volume
6/28/2019,271.9675,272.8691,271.4376,272.3579,59255834
7/1/2019,275.7786,276.0017,273.5942,274.8305,78867575
7/2/2019,274.784,275.602,273.9195,275.5462,61504544
7/3/2019,276.2434,277.7679,276.0947,277.7493,40898896
7/5/2019,276.4851,277.6006,275.1558,277.4332,51657416
7/8/2019,276.0854,277.2454,275.351,275.9088,45841772
7/9/2019,274.719,276.5595,274.6632,276.2527,41068189
7/10/2019,277.3496,278.5487,276.8011,277.5727,58547783
7/11/2019,278.2326,278.4743,277.1916,278.2234,50832063
7/12/2019,278.7253,279.5433,278.4093,279.4689,40335336
7/15/2019,279.9151,279.9151,279.0414,279.5619,33910261
7/16/2019,279.4689,279.6827,278.3442,278.5952,40533990
7/17/2019,278.6324,278.7997,276.764,276.764,43952969
7/18/2019,276.2527,278.1676,275.7972,277.7772,51589195
7/19/2019,278.9019,278.9298,276.0389,276.2341,70991785
7/22/2019,276.6431,277.4704,276.1133,276.9127,43652365
7/23/2019,278.0653,278.8926,277.2101,278.8926,44601745
7/24/2019,278.1118,280.2033,278.0189,280.2033,47213232
7/25/2019,279.7385,279.7943,278.0374,278.8647,55378544
7/26/2019,279.5712,280.9376,279.4411,280.7331,45022816
7/29/2019,280.6123,280.6588,279.6549,280.2219,38091054
7/30/2019,278.7811,279.9523,278.3907,279.534,45813578
7/31/2019,279.785,279.9802,274.4029,276.4758,104245162
8/1/2019,276.6338,279.6734,273.2503,274.0683,142531739
8/2/2019,273.148,273.399,270.4058,272.0047,116724483
8/5/2019,267.7938,267.9054,261.8726,263.8246,177891127
8/6/2019,265.7674,267.7473,264.2522,267.5242,120521001
8/7/2019,264.3638,268.4724,262.17,267.6823,140409925
8/8/2019,269.216,272.9342,268.649,272.9342,87460322
8/9/2019,271.9675,272.581,269.2439,271.0751,93702071
8/12/2019,269.5321,271.0614,266.7992,267.8217,75230899
8/13/2019,267.4685,273.4269,267.1152,271.9396,94713738
8/14/2019,267.7752,271.86,263.7689,263.899,135369567
8/15/2019,264.81,265.5164,262.4954,264.5962,101929845
8/16/2019,266.2972,268.9465,264.6555,268.5003,85808933
8/19/2019,271.605,272.4323,270.9078,271.7351,53583732
8/20/2019,271.2146,271.763,269.5228,269.6529,51614878
8/21/2019,271.8745,272.2278,271.1681,271.8466,49565853
8/22/2019,272.5717,273.2224,269.9411,271.763,51698543
8/23/2019,270.4244,272.1348,263.4993,264.7821,149217157
8/26/2019,267.0316,267.7102,265.4606,267.7102,72478929
8/27/2019,269.1417,269.5228,265.8789,266.6598,68262998
8/28/2019,265.9812,268.7048,265.1539,268.5374,59852324
8/29/2019,271.1681,272.5066,270.1363,271.9675,57913188
8/30/2019,273.4919,273.5104,270.8892,271.8492,62831109
9/3/2019,270.0991,271.0379,268.8907,270.2664,69078772
9/4/2019,272.488,273.3386,271.7165,273.2596,46813644
9/5/2019,275.8809,277.7772,273.2884,276.7733,83197295
